VideoID,VideoTitle,DateOfPublic,PlaylistID,PlaylistTitle,views,likes,dislikes,comments,Favorites
JEexIgFkMjI,Lindsey Stirling - Lose You Now (feat. Mako),2021-01-13T23:37:52Z,PLETuopLfmKSPzPnJqXoKrpaFsB4COvhYe,Artemis,2476715,111290,1365,4162,0
VgzTfdzj_Ho,Lindsey Stirling - Guardian,2020-11-07T02:17:38Z,PLETuopLfmKSPzPnJqXoKrpaFsB4COvhYe,Artemis,3461370,156074,1530,6634,0
oQrIbBqV2Ew,Lindsey Stirling - Til The Light Goes Out (Official Video),2020-09-19T00:08:46Z,PLETuopLfmKSPzPnJqXoKrpaFsB4COvhYe,Artemis,5572705,199583,2747,5554,0
b50Gb3bPNI8,Lindsey Stirling - Between Twilight (Official Video),2020-08-10T18:25:36Z,PLETuopLfmKSPzPnJqXoKrpaFsB4COvhYe,Artemis,4182124,172958,1096,5103,0
jyvcg72-reA,Lindsey Stirling - Sleepwalking (Official Video),2020-08-10T18:25:43Z,PLETuopLfmKSPzPnJqXoKrpaFsB4COvhYe,Artemis,5489802,189731,1955,5422,0
VsN7E35LpJE,Lindsey Stirling - Artemis (Official Video),2020-08-10T18:25:50Z,PLETuopLfmKSPzPnJqXoKrpaFsB4COvhYe,Artemis,14338748,383318,3593,11472,0
R8ALe-nVzd8,Lindsey Stirling - The Upside (ft. Elle King) [Official Video],2020-08-10T18:26:08Z,PLETuopLfmKSPzPnJqXoKrpaFsB4COvhYe,Artemis,3177419,94174,1985,2876,0
EJ09pSuA9hw,Lindsey Stirling - Underground (Official Video),2020-08-10T18:26:17Z,PLETuopLfmKSPzPnJqXoKrpaFsB4COvhYe,Artemis,13871293,398273,4178,11820,0
TGNJbrZnIJg,Lindsey Stirling Live: The Artemis Reprise,2020-08-20T23:04:57Z,PLETuopLfmKSPzPnJqXoKrpaFsB4COvhYe,Artemis,408579,16370,244,590,0
lxC6AT_aasM,Lindsey Stirling - String Sessions with Bishop Briggs,2020-07-16T21:39:38Z,PLETuopLfmKSPFH0DEao74tcHQQr0wRRTX,String Sessions with Lindsey Stirling,633821,31337,594,987,0
VzPZoffAHn4,Lindsey Stirling - String Sessions with LP,2020-07-09T21:57:37Z,PLETuopLfmKSPFH0DEao74tcHQQr0wRRTX,String Sessions with Lindsey Stirling,351736,23540,318,1085,0
zyWiwuW2ULI,Lindsey Stirling - String Sessions with Jewel,2020-06-29T20:46:35Z,PLETuopLfmKSPFH0DEao74tcHQQr0wRRTX,String Sessions with Lindsey Stirling,280710,12795,373,604,0
