VideoID,VideoTitle,DateOfPublic,PlaylistID,PlaylistTitle,views,likes,dislikes,comments,Favorites
XN9lgrT8eVc,Abba - Dancing Queen 1976,2020-02-07T12:29:26Z,PLlb3q7unEBfOPWp6kcHuSfajU2ftQAGPo,Live Performances,763830,8047,156,504,0
iyIOl-s7JTU,ABBA - The Winner Takes It All (1980) HD 0815007,2020-02-07T12:22:45Z,PLlb3q7unEBfOPWp6kcHuSfajU2ftQAGPo,Live Performances,137816076,498366,22477,30441,0
7j6OI9TxqzI,ABBA - Honey Honey 1974 (High Quality),2020-02-07T12:23:37Z,PLlb3q7unEBfOPWp6kcHuSfajU2ftQAGPo,Live Performances,6354762,38715,1168,2414,0
3FsVeMz1F5c,ABBA Waterloo Eurovision 1974 (High Quality),2020-02-07T12:23:57Z,PLlb3q7unEBfOPWp6kcHuSfajU2ftQAGPo,Live Performances,16998396,60367,2195,4802,0
89w-L3aICj4,ABBA - S.O.S. 1975 (High Quality),2020-02-07T12:28:03Z,PLlb3q7unEBfOPWp6kcHuSfajU2ftQAGPo,Live Performances,20735454,87989,2492,4802,0
8GxkfRD9nns,"ABBA - I Have A Dream (From The Late Late Breakfast Show, England 1982)",2020-02-07T12:28:42Z,PLlb3q7unEBfOPWp6kcHuSfajU2ftQAGPo,Live Performances,24109122,114546,5859,3360,0
9lzEG_vgato,ABBA Take A Chance On Me - (Live Switzerland '79) Swedish LP audio HD,2020-02-07T12:29:12Z,PLlb3q7unEBfOPWp6kcHuSfajU2ftQAGPo,Live Performances,3977235,15440,517,1367,0
vS2lWkn4g9g,ABBA - Happy New Year 1980 (High Quality),2020-02-07T12:29:44Z,PLlb3q7unEBfOPWp6kcHuSfajU2ftQAGPo,Live Performances,5985247,49291,1425,2792,0
5_GwjWux7Hw,ABBA Chiquitita - (Live Switzerland '79) Deluxe edition Audio HD,2020-02-07T12:30:59Z,PLlb3q7unEBfOPWp6kcHuSfajU2ftQAGPo,Live Performances,14409527,50024,4423,1997,0
27TGkADStbw,ABBA 40th Anniversary 2014,2018-06-25T11:02:13Z,PLlb3q7unEBfNvZPfEtdChW-J8ygudQk89,Spots and Trailers,262475,3700,56,153,0
uIDfvi89VSg,ABBA - ABBA Gold,2018-06-25T11:02:13Z,PLlb3q7unEBfNvZPfEtdChW-J8ygudQk89,Spots and Trailers,5487,69,1,7,0
LOwdXxvXXJw,ABBA Super Trouper 40th Anniversary reissue,2020-10-29T09:27:03Z,PLlb3q7unEBfNvZPfEtdChW-J8ygudQk89,Spots and Trailers,224822,5020,83,481,0
Jdsei0_JXD0,"Abba - Conociendome, Conociendote",2014-02-12T14:58:31Z,PLlb3q7unEBfPUtsLe6JSz5DkWyevLio7R,En Español,2500469,14896,680,814,0
do1EGAs_UNQ,Abba - Gracias Por La Musica,2014-02-12T14:58:31Z,PLlb3q7unEBfPUtsLe6JSz5DkWyevLio7R,En Español,6340400,30439,1540,2605,0
6qmzmD4POMk,Abba - No Hay A Quien Culpar,2014-02-12T14:58:31Z,PLlb3q7unEBfPUtsLe6JSz5DkWyevLio7R,En Español,3189457,8264,463,531,0
jlC3otqX8bc,Abba - Estoy Soñando (Official Video),2020-01-30T12:20:32Z,PLlb3q7unEBfPUtsLe6JSz5DkWyevLio7R,En Español,20278197,87152,5678,4546,0
YihxpsmH3cQ,Abba - Felicidad,2014-02-12T14:58:31Z,PLlb3q7unEBfPUtsLe6JSz5DkWyevLio7R,En Español,4971521,17471,763,874,0
Sj_9CiNkkn4,Abba - Waterloo,2014-02-12T08:56:35Z,PLlb3q7unEBfPDh5GChvhqHISwPH23uYLC,Official Music Videos,59118093,248778,8430,11732,0
TL0EoXdpOqg,"Abba - Ring, Ring",2014-02-12T08:56:35Z,PLlb3q7unEBfPDh5GChvhqHISwPH23uYLC,Official Music Videos,21113234,53482,2302,3710,0
unfzfe8f9NI,Abba - Mamma Mia (Official Video),2014-02-12T08:56:35Z,PLlb3q7unEBfPDh5GChvhqHISwPH23uYLC,Official Music Videos,217527211,899431,44242,33593,0
cvChjHcABPA,Abba - SOS (Official Video),2014-02-12T08:56:35Z,PLlb3q7unEBfPDh5GChvhqHISwPH23uYLC,Official Music Videos,62744921,216430,7154,11013,0
_CsJCa2TlXU,Abba - Bang-A-Boomerang,2014-02-12T08:56:35Z,PLlb3q7unEBfPDh5GChvhqHISwPH23uYLC,Official Music Videos,8065728,21073,756,1549,0
tW3HN_pvbE4,"Abba - I Do, I Do, I Do, I Do, I Do (Official Video)",2014-02-12T08:56:35Z,PLlb3q7unEBfPDh5GChvhqHISwPH23uYLC,Official Music Videos,19203866,67371,2398,3710,0
dQsjAbZDx-4,Abba - Fernando,2014-02-12T08:56:35Z,PLlb3q7unEBfPDh5GChvhqHISwPH23uYLC,Official Music Videos,93925992,360679,15850,19965,0
xFrGuyw1V8s,Abba - Dancing Queen,2014-02-12T08:56:35Z,PLlb3q7unEBfPDh5GChvhqHISwPH23uYLC,Official Music Videos,486009419,2047800,88250,95883,0
ETxmCCsMoD0,"Abba - Money, Money, Money (Official Video)",2014-02-12T08:56:35Z,PLlb3q7unEBfPDh5GChvhqHISwPH23uYLC,Official Music Videos,72267651,386176,14979,14888,0
iUrzicaiRLU,"Abba - Knowing Me, Knowing You (Official Video)",2014-02-12T08:56:35Z,PLlb3q7unEBfPDh5GChvhqHISwPH23uYLC,Official Music Videos,65209535,213650,7879,14051,0
mP_dk429rbc,Abba - That's Me,2014-02-12T08:56:35Z,PLlb3q7unEBfPDh5GChvhqHISwPH23uYLC,Official Music Videos,8269763,21118,821,1560,0
iJ90ZqH0PWI,Abba - The Name Of The Game (Official Video),2014-02-12T08:56:35Z,PLlb3q7unEBfPDh5GChvhqHISwPH23uYLC,Official Music Videos,22676799,61165,2330,5038,0
