VideoID,VideoTitle,DateOfPublic,PlaylistID,PlaylistTitle,views,likes,dislikes,comments,Favorites
5l7unG7xGD8,Avicii Tribute Concert - Levels,2019-12-13T16:28:56Z,PLl8VaWiKm5ouEPgqtSPIOnmvtrwgs2vwA,Avicii Tribute Concert - Live in Stockholm 2019,14565517,335454,2834,11962,0
h2Tzd7MiOj8,Avicii Tribute Concert: In Loving Memory of Tim Bergling,2019-12-15T19:22:52Z,PLl8VaWiKm5ouEPgqtSPIOnmvtrwgs2vwA,Avicii Tribute Concert - Live in Stockholm 2019,10351119,302076,3339,15826,0
HxEnEQTazgw,Avicii Tribute Concert - The Nights (Live Vocals by Nick Furlong),2019-12-13T16:13:24Z,PLl8VaWiKm5ouEPgqtSPIOnmvtrwgs2vwA,Avicii Tribute Concert - Live in Stockholm 2019,5528749,170091,1180,5557,0
U7r2YwvBgQ0,Avicii Tribute Concert - Without You (Live Vocals by Sandro Cavazza),2019-12-13T15:02:39Z,PLl8VaWiKm5ouEPgqtSPIOnmvtrwgs2vwA,Avicii Tribute Concert - Live in Stockholm 2019,4562165,90185,575,2330,0
F10IetLz71s,Avicii Tribute Concert - Hey Brother (Live Vocals by Dan Tyminski and Vargas & Lagola),2019-12-13T16:16:18Z,PLl8VaWiKm5ouEPgqtSPIOnmvtrwgs2vwA,Avicii Tribute Concert - Live in Stockholm 2019,3621648,85108,588,1508,0
Orp4k_YkE5w,Avicii Tribute Concert - Wake Me Up (Live Vocals by Aloe Blacc),2019-12-13T16:22:24Z,PLl8VaWiKm5ouEPgqtSPIOnmvtrwgs2vwA,Avicii Tribute Concert - Live in Stockholm 2019,3212456,89003,510,1671,0
yXofg9Fc728,Avicii Tribute Concert - Waiting For Love (Live Vocals by Simon Aldred),2019-12-13T16:21:21Z,PLl8VaWiKm5ouEPgqtSPIOnmvtrwgs2vwA,Avicii Tribute Concert - Live in Stockholm 2019,2889573,64455,502,1281,0
4CljcOzFIzI,David Guetta I Avicii Tribute Concert,2019-12-26T15:52:07Z,PLl8VaWiKm5ouEPgqtSPIOnmvtrwgs2vwA,Avicii Tribute Concert - Live in Stockholm 2019,2554155,55238,646,1349,0
x3GqKQS75Qg,Avicii Tribute Concert - You Make Me (Live Vocals by Vargas & Lagola),2019-12-13T15:50:38Z,PLl8VaWiKm5ouEPgqtSPIOnmvtrwgs2vwA,Avicii Tribute Concert - Live in Stockholm 2019,1651269,28533,303,597,0
yMoxSy1ufQU,Avicii Tribute Concert - Lonely Together (Live Vocals by Rita Ora),2019-12-13T16:10:53Z,PLl8VaWiKm5ouEPgqtSPIOnmvtrwgs2vwA,Avicii Tribute Concert - Live in Stockholm 2019,1605052,36494,257,723,0
uz6nWl0tyhA,Avicii Tribute Concert - Blessed (Live Vocals by Dorothy & Andy Sherman and Hedvig Eleonora Gospel),2019-12-13T15:24:08Z,PLl8VaWiKm5ouEPgqtSPIOnmvtrwgs2vwA,Avicii Tribute Concert - Live in Stockholm 2019,1602153,22930,433,1558,0
yf4m5zfpx1U,Avicii Tribute Concert - I Could Be The One (Live Vocals by Johanna Söderberg),2019-12-13T15:34:00Z,PLl8VaWiKm5ouEPgqtSPIOnmvtrwgs2vwA,Avicii Tribute Concert - Live in Stockholm 2019,1460925,26745,284,709,0
K-VqSFS9hBc,Avicii Tribute Concert - Lay Me Down (Live Vocals by Adam Lambert),2019-12-13T16:02:23Z,PLl8VaWiKm5ouEPgqtSPIOnmvtrwgs2vwA,Avicii Tribute Concert - Live in Stockholm 2019,1400842,21598,315,1181,0
rIUJ0xfYnxI,Avicii Tribute Concert - Addicted To You (Live Vocals by Audra Mae),2019-12-13T15:44:18Z,PLl8VaWiKm5ouEPgqtSPIOnmvtrwgs2vwA,Avicii Tribute Concert - Live in Stockholm 2019,1189154,40451,287,1014,0
C8uIB66wl4Y,"Avicii Tribute Concert - Tough Love (Live Vocals by Agnes, Vargas & Lagola)",2019-12-13T15:52:19Z,PLl8VaWiKm5ouEPgqtSPIOnmvtrwgs2vwA,Avicii Tribute Concert - Live in Stockholm 2019,868966,13879,110,348,0
1ezw22-KGpE,Avicii Tribute Concert - SOS (Speech & Live Vocals by Aloe Blacc),2019-12-13T15:18:09Z,PLl8VaWiKm5ouEPgqtSPIOnmvtrwgs2vwA,Avicii Tribute Concert - Live in Stockholm 2019,805394,17881,131,455,0
