VideoID,VideoTitle,DateOfPublic,PlaylistID,PlaylistTitle,views,likes,dislikes,comments,Favorites
qeR9p-1-yqE,Echo vs Sloth | Upper Quarters | MDI Shadowlands Cup 4,2021-03-12T19:25:48Z,PLY0KbDiiFYePdjlZtdCKVNdKEd74G0GNF,MDI Shadowlands | Cup 4,2784,52,4,2,0
D6h6WAT6-Nk,Does Gargoyle Stream? vs PI Me | Upper Quarters | MDI Shadowlands Cup 4,2021-03-12T21:11:45Z,PLY0KbDiiFYePdjlZtdCKVNdKEd74G0GNF,MDI Shadowlands | Cup 4,2646,48,3,2,0
14_qYPd4P6A,Perplexed vs Reload Fulcrum | Upper Quarters | MDI Shadowlands Cup 4,2021-03-12T21:48:30Z,PLY0KbDiiFYePdjlZtdCKVNdKEd74G0GNF,MDI Shadowlands | Cup 4,743,21,3,1,0
oOKHT-5-wKE,Obey Alliance vs Golden Guardians | Upper Quarters | MDI Shadowlands Cup 4,2021-03-13T18:18:31Z,PLY0KbDiiFYePdjlZtdCKVNdKEd74G0GNF,MDI Shadowlands | Cup 4,1399,23,3,2,0
xmVfUFu3wXo,Echo vs PI Me | Upper Semis | MDI Shadowlands Cup 4,2021-03-13T19:17:23Z,PLY0KbDiiFYePdjlZtdCKVNdKEd74G0GNF,MDI Shadowlands | Cup 4,3451,31,6,5,0
i58_k5n0VNY,Golden Guardians vs Perplexed | Upper Semis | MDI Shadowlands Cup 4,2021-03-13T20:38:51Z,PLY0KbDiiFYePdjlZtdCKVNdKEd74G0GNF,MDI Shadowlands | Cup 4,1135,20,2,2,0
zdGzRaC8hzA,Sloth vs Does Gargoyle Stream? | Lower Round 1 | MDI Shadowlands Cup 4,2021-03-13T22:10:26Z,PLY0KbDiiFYePdjlZtdCKVNdKEd74G0GNF,MDI Shadowlands | Cup 4,1010,25,2,2,0
AbkZUlOyb6w,Reload Fulcrum vs Obey Alliance | Lower Round 1 | MDI Shadowlands Cup 4,2021-03-13T22:47:45Z,PLY0KbDiiFYePdjlZtdCKVNdKEd74G0GNF,MDI Shadowlands | Cup 4,1181,22,2,1,0
i1KHuBMeA0E,Golden Guardians vs Sloth | Lower Quarters | MDI Shadowlands Cup 4,2021-03-13T23:49:37Z,PLY0KbDiiFYePdjlZtdCKVNdKEd74G0GNF,MDI Shadowlands | Cup 4,1050,23,2,1,0
4RSQyjyYWJ0,Echo vs Obey Alliance | Lower Quarters | MDI Shadowlands Cup 4,2021-03-14T00:33:47Z,PLY0KbDiiFYePdjlZtdCKVNdKEd74G0GNF,MDI Shadowlands | Cup 4,2575,43,3,1,0
X7MdpLnAp0A,PI Me vs Perplexed | Upper Finals | MDI Shadowlands Cup 4,2021-03-14T19:08:26Z,PLY0KbDiiFYePdjlZtdCKVNdKEd74G0GNF,MDI Shadowlands | Cup 4,7490,56,4,4,0
YiomL_GllS8,Golden Guardians vs Echo | Lower Semis | MDI Shadowlands Cup 4,2021-03-14T19:46:39Z,PLY0KbDiiFYePdjlZtdCKVNdKEd74G0GNF,MDI Shadowlands | Cup 4,5163,51,3,3,0
HOHH9pHLKM8,Perplexed vs Echo | Lower Finals | MDI Shadowlands Cup 4,2021-03-14T21:36:44Z,PLY0KbDiiFYePdjlZtdCKVNdKEd74G0GNF,MDI Shadowlands | Cup 4,10755,97,5,9,0
M7uAUNgYzKs,PI Me vs Echo | Final | MDI Shadowlands Cup 4,2021-03-14T22:27:20Z,PLY0KbDiiFYePdjlZtdCKVNdKEd74G0GNF,MDI Shadowlands | Cup 4,43418,271,24,26,0
_bm4tBEWCVU,Golden Guardians vs Does Gargoyle Stream? | Tiebreaker | MDI Shadowlands Cup 4,2021-03-14T23:40:36Z,PLY0KbDiiFYePdjlZtdCKVNdKEd74G0GNF,MDI Shadowlands | Cup 4,7766,74,7,2,0
9dUvOq1Bc_Y,Creed vs F2K MyWay | Lower Round 1 | AWC Shadowlands EU Cup 4,2021-03-05T22:42:07Z,PLY0KbDiiFYeMMae0aDo885LaBDlOQHOgZ,AWC Shadowlands | Cup 4,4703,72,8,4,0
dNgbbh70uFo,AD Hoc Gaming vs Win on Blue | Lower Round 1 | AWC Shadowlands EU Cup 4,2021-03-05T22:48:29Z,PLY0KbDiiFYeMMae0aDo885LaBDlOQHOgZ,AWC Shadowlands | Cup 4,3923,53,7,4,0
86OIO-AN0Hg,Skill Capped EU vs Reload Esports | Upper Quarterfinal | AWC Shadowlands EU Cup 4,2021-03-05T22:52:21Z,PLY0KbDiiFYeMMae0aDo885LaBDlOQHOgZ,AWC Shadowlands | Cup 4,6487,46,4,8,0
SUrFljKnRhI,cowana Gaming vs Method EU | Upper Quarterfinal | AWC Shadowlands EU Cup 4,2021-03-05T23:01:37Z,PLY0KbDiiFYeMMae0aDo885LaBDlOQHOgZ,AWC Shadowlands | Cup 4,6671,41,11,7,0
mT0sLMy66yo,Reload Esports vs Creed | Lower Quarterfinal | AWC Shadowlands EU Cup 4,2021-03-05T23:04:03Z,PLY0KbDiiFYeMMae0aDo885LaBDlOQHOgZ,AWC Shadowlands | Cup 4,5209,53,4,9,0
wbiinvjsH2I,cowana Gaming vs AD Hoc Gaming | Lower Quarterfinal | AWC Shadowlands EU Cup 4,2021-03-06T00:07:37Z,PLY0KbDiiFYeMMae0aDo885LaBDlOQHOgZ,AWC Shadowlands | Cup 4,6329,49,3,3,0
